name,latitude,longitude,district,neighborhood,district_id,neighborhood_id,bakery_type,is_chain,brand_name,street,house_number,postal_code,opening_hours,website,data_source,source_ids
Jokum,52.5445317,13.3686249,Mitte,Wedding,mitte,wedding,artisanal,False,,Gerichtstraße,58,13347,Mo-Sa 06:00-18:00,,OSM,node/707409445
Heidel Back,52.4809141,13.3132113,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,artisanal,False,,Mecklenburgische Straße,20,10713,,,OSM,node/715203730
Luna,52.4722859,13.298735,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,artisanal,False,,,,,,,OSM,node/715203856
Barby Bäcker,52.5706366,13.3180507,Reinickendorf,Reinickendorf,reinickendorf,reinickendorf,artisanal,False,,,,,,,OSM,node/716613637
Mirage Bäckerei,52.5667352,13.3179667,Reinickendorf,Reinickendorf,reinickendorf,reinickendorf,artisanal,False,,Scharnweberstraße,45,13405,,,OSM,node/716613641
BackBaron,52.50832,13.2587011,Charlottenburg-Wilmersdorf,Westend,charlottenburg-wilmersdorf,westend,artisanal,False,,,,,,,OSM,node/718143688
Kamps,52.5603223,13.4291966,Pankow,Heinersdorf,pankow,heinersdorf,chain,True,Kamps,Prenzlauer Promenade,43,13089,,https://www.kamps.de,OSM,node/721617846
BioBackHaus,52.472921,13.3141036,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,chain,True,BioBackHaus. Leib GmbH,Rüdesheimer Straße,8,14197,Mo-Fr 07:00-18:30; Sa 07:00-16:00; Su 08:00-16:00,,OSM,node/725621495
Star Backshop,52.5266318,13.5367091,Marzahn-Hellersdorf,Marzahn,marzahn-hellersdorf,marzahn,artisanal,False,,Allee der Kosmonauten,,12681,Mo-Fr 05:00-17:00,,OSM,node/727736835
L'Original,52.5653603,13.3219384,Reinickendorf,Reinickendorf,reinickendorf,reinickendorf,artisanal,False,,Scharnweberstraße,118,13405,,,OSM,node/738915085
Schäfer's,52.5614193,13.2081305,Spandau,Hakenfelde,spandau,hakenfelde,chain,True,Schäfer's,Streitstraße,58,13587,Mo-Fr 06:00-18:00; Sa 06:00-16:00; Su 08:00-16:00,,OSM,node/740152643
Baris‘ta Bäckerei,52.5793919,13.3971561,Pankow,Niederschönhausen,pankow,niederschönhausen,artisanal,False,,Hermann-Hesse-Straße,30,13156,Mo-Fr 05:00-18:00; Su 06:00-18:00; Sa 06:00-15:00,,OSM,node/746853039
Czerr,52.4881224,13.3350638,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,artisanal,False,,Berliner Straße,3,10715,Mo-Fr 07:00-17:00; Sa 07:00-13:00; Su 08:00-12:00,,OSM,node/750112089
Rixdorfer Bäckerei Pizza & Salate,52.4736628,13.449036,Neukölln,Neukölln,neukölln,neukölln,artisanal,False,,Böhmische Straße,46,12055,Mo-Su 06:30-20:00,,OSM,node/752938656
Melek Bäckerei,52.4938863,13.3841652,Friedrichshain-Kreuzberg,Kreuzberg,friedrichshain-kreuzberg,kreuzberg,artisanal,False,,Yorckstraße,14,,"Mo-Fr 05:00-16:00; Sa,Su 07:00-16:00",,OSM,node/753108331
Dem Back,52.5677788,13.4118745,Pankow,Pankow,pankow,pankow,artisanal,False,,,,,Mo-Fr 04:00-18:00; Sa 06:00-15:00,,OSM,node/753328977
BackTreff,52.54158,13.3498507,Mitte,Wedding,mitte,wedding,artisanal,False,,,,,,,OSM,node/762607353
Ercan Baklava,52.4801296,13.3525953,Tempelhof-Schöneberg,Schöneberg,tempelhof-schöneberg,schöneberg,artisanal,False,,Dominicusstraße,55,10827,,,OSM,node/765928669
Derin's Back House,52.4896885,13.4078438,Friedrichshain-Kreuzberg,Kreuzberg,friedrichshain-kreuzberg,kreuzberg,artisanal,False,,,,,,,OSM,node/766742186
Bäckerei Sonnenschein,52.5740371,13.3592637,Reinickendorf,Reinickendorf,reinickendorf,reinickendorf,artisanal,False,,Residenzstraße,156,13409,Mo-Su 06:00-18:00,,OSM,node/769318476
Provitrol Bäckerei,52.5745711,13.3545223,Reinickendorf,Reinickendorf,reinickendorf,reinickendorf,artisanal,False,,,,,"Mo-Fr 05:30-16:00; Sa,Su 07:00-13:30",,OSM,node/769326921
Bäckerei Krülls,52.4916139,13.4464183,Treptow-Köpenick,Alt-Treptow,treptow-köpenick,alt-treptow,artisanal,False,,Karl-Kunger-Straße,10,12435,,,OSM,node/772842476
La Maison,52.5374948,13.4210987,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,Rykestraße,39,10405,,,OSM,node/773563727
,52.5948249,13.334951,Reinickendorf,Wittenau,reinickendorf,wittenau,artisanal,False,,,,,Mo-Sa 07:00-23:00,,OSM,node/775808424
Plazebo,52.5374842,13.4083106,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,Kastanienallee,26,10435,Mo-Su 08:00-18:00,,OSM,node/778710966
Lychener Back,52.5409373,13.414858,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,,,,"PH,Mo-Su 06:00-18:00",,OSM,node/783442854
Bisquitte,52.5521926,13.4146092,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,,,,Mo-Su 06:00-20:00,,OSM,node/792247198
Märkisch Edel,52.5544461,13.5020498,Lichtenberg,Alt-Hohenschönhausen,lichtenberg,alt-hohenschönhausen,artisanal,False,,,,,,,OSM,node/792647903
Harmonie Bäckerei,52.5388274,13.3993993,Mitte,Mitte,mitte,mitte,artisanal,False,,Ruppiner Straße,10,10115,,,OSM,node/793735881
M & M Back,52.4946804,13.3607925,Tempelhof-Schöneberg,Schöneberg,tempelhof-schöneberg,schöneberg,artisanal,False,,Potsdamer Straße,170-170b,10783,"Mo-Fr 05:00-20:00; Sa,Su,PH 06:00-20:00",,OSM,node/802697273
Backbaron,52.4577501,13.289957,Steglitz-Zehlendorf,Dahlem,steglitz-zehlendorf,dahlem,artisanal,False,,,,,,,OSM,node/803776974
Pero Piya,52.5165934,13.4686999,Friedrichshain-Kreuzberg,Friedrichshain,friedrichshain-kreuzberg,friedrichshain,artisanal,False,,,,,,,OSM,node/808446072
Back am Plaza 2,52.5649397,13.2094571,Spandau,Hakenfelde,spandau,hakenfelde,artisanal,False,,,,,"Mo-Fr 06:00-16:00; Sa,Su 07:00-12:00",,OSM,node/809907883
Steinecke,52.5615181,13.2135542,Spandau,Hakenfelde,spandau,hakenfelde,chain,True,Steinecke,Goltzstraße,15-17,13587,"Mo-Sa 06:30-20:00; Su,PH off",,OSM,node/809926774
Backwerk,52.4648721,13.3279587,Tempelhof-Schöneberg,Friedenau,tempelhof-schöneberg,friedenau,chain,True,BackWerk,Walther-Schreiber-Platz,1,12161,Mo-Sa 06:30-20:30; Su 08:00-16:00,https://www.back-werk.de,OSM,node/811905824
Bäckerei Czerr,52.4816561,13.3198466,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,artisanal,False,,Paretzer Straße,1,10713,"Mo-Fr 07:00-17:00; Sa 07:00-14:00; Su,PH 08:00-16:00",,OSM,node/821121330
Thoben,52.4866786,13.3237248,Charlottenburg-Wilmersdorf,Wilmersdorf,charlottenburg-wilmersdorf,wilmersdorf,artisanal,False,,,,,Mo-Sa 06:00-20:00; Su 08:00-17:00,,OSM,node/825241251
