public_artwork_id,artwork_name,artwork_type,artist_name,street,neighbourhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
13167028932,,mural,,hildegard-jadamowitz-straße,0201,11002002,10243,,,,,,52.5154636,13.4513475
13175126154,,sculpture,erich f. reuter,kurfürstendamm,0401,11004004,10719,aluminium,,file:skulptur fassadenrelief kurfürstendamm 44 erich f. reuter berlin-charlottenburg 02.jpg,Q130627109,category:facade relief kurfürstendamm 44 (erich f. reuter),52.501977,13.3202353
13175126550,fasan,sculpture,bertold grether,fasanenstraße,0402,11004004,10719,,2019-01,file:skulptur fasan bertold grether fasanenstraße 65 berlin-wilmersdorf 02.jpg,Q136386228,category:pheasant sculpture (bertold grether),52.4998133,13.3272156
13176869529,element wasser fee und leo,sculpture,yoshimi haschimoto,bundesallee,0402,11004004,10719,stone,,file:skulptur element wasser fee und leo yoshimi haschimoto bundesallee 1-12 berlin-wilmersdorf.jpg,Q136393974,category:element wasser fee und leo (yoshimi hashimoto),52.4991049,13.3303171
13178978978,,statue,,mendelssohnstraße,0301,11003003,10405,stone,,,,,52.5276454,13.420319
13180463907,äskulap,sculpture,volkmar haase,kaiserstraße,0704,11007007,12105,steel,,,Q110929989,file:brunnen rathausstr 27 (mardf) brunnen.jpg,52.4455983,13.3791281
13183659876,springendes pferd,statue,joachim dunkel,moritzstraße,0501,11005005,13597,bronze,1965,file:skulptur moritzstr 10 (spand) springendes pferd&joachim dunkel&1965.jpg,Q116474268,category:springendes pferd (joachim dunkel),52.5388372,13.20044
13184656638,,sculpture,karl-august hahn,grimmstraße,0706,11007007,12305,metal,,,Q136407846,file:annedore-leber-grundschule 20140503 90.jpg,52.3975036,13.4015882
13188227827,,mural,,liebigstraße,0201,11002002,10247,,,,,,52.5168865,13.4556922
13197999895,,sculpture,,otto-dix-straße,0102,11001001,10557,,,,Q116692472,,52.5250602,13.3593721
13198107179,herz der hoffnung,stone,,bernauer straße,0106,11001001,13355,,,,,,52.5352542,13.3879191
13200761676,araberjährling,statue,hans-joachim ihle,dröpkeweg,0803,11008008,12353,bronze,,file:skulptur dröpkeweg 6 (buck) zwei füllen&hans joachim ihle&19745.jpg,Q136450881,"category:araberjährling trabend (hans-joachim ihle, berlin-buckow)",52.4202689,13.4467972
13200761677,araberjährling,statue,hans-joachim ihle,dröpkeweg,0803,11008008,12353,bronze,,file:skulptur dröpkeweg 6 (buck) zwei füllen&hans-joachim ihle&1974.jpg,Q136450908,"category:araberjährling galoppierend (hans-joachim ihle, berlin-buckow)",52.4202314,13.4468114
13201305567,schrippe,stone,,bernauer straße,0106,11001001,13355,,,,,,52.5357087,13.3892921
13206680770,,installation,,bornsdorfer straße,0801,11008008,12053,,,,,,52.4750536,13.4371127
13227622867,,statue,,gleditschstraße,0701,11007007,10781,,,,,,52.4959342,13.3555847
13244317353,der steinhändler,sculpture,alexander polzin,hadlichstraße,0307,11003003,13187,granite,,,,,52.5684356,13.4121396
13254184467,kleist-museum,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4673822,13.5272584
13254184468,brandenburger tor,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4676229,13.5278896
13254184469,burg rabenstein,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4681157,13.5275953
13254184470,steintorturm,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4681224,13.5278509
13254184471,siegessäule,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4676801,13.5279534
13254184472,gatower mühle,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4677863,13.5281219
13254184473,wehrkirche & kampehler schloss,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4674729,13.5284277
13254184474,stiftskirche,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4677229,13.5281915
13254184475,st. nikolai-kirche,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.467543,13.5281853
13254184476,kyritz,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4675026,13.5283849
13254184477,uhrenturm wittenberge,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4674194,13.5286555
13254184478,dorfkate,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4673524,13.5277375
13254184479,mies van der rohe haus,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4673574,13.5277806
13254184480,dannenwald/zehdenick,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4671966,13.5280237
13254184481,borsigturm & borsigtor,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.467426,13.5279805
13254184482,kulturkirche,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4673639,13.5281507
13254184483,sechserbrücke,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.46755,13.5280944
13254184484,schinkelkirche,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4673843,13.5283571
13254184485,hi-flyer ballon,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.467675,13.5276999
13254184486,dorfkirche fretzdorf,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4673086,13.528437
13254184487,wittstock / dosse & umgebung,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.467261,13.5285698
13254184488,fachwerkkirche kreuzburg,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4673787,13.528593
13254184489,neue kommandatur,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4675837,13.5278273
13254184490,rathaus lichtenberg,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4674393,13.527584
13254184491,archenhold sternwarte,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4675861,13.5276737
13254184492,dorfkirche stralau,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4675939,13.5276075
13254184493,kiezspinne fas,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.467535,13.5275339
13254184494,st.-laurentius-stadtkirche,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4675722,13.52741
13254184495,neue wache,sculpture,,an der wuhlheide,0909,11009009,12459,,,,,,52.4675757,13.5278854
